,Unnamed: 0,PGN,Mode,Result,Average Rating,Rating Difference,Termination Type,w_checks,w_avg_possible_checks,w_castling,w_avg_possible_moves,w_avg_reachable_squares,w_avg_threatened_pieces,w_avg_pieces_left,b_checks,b_avg_possible_checks,b_castling,b_avg_possible_moves,b_avg_reachable_squares,b_avg_threatened_pieces,b_avg_pieces_left
10,10,1. d4 e5 2. e3 e4 3. f4 d5 4. c3 Nf6 5. Nd2 Bg4 6. Be2 h5 7. h3 Bxe2 8. Nxe2 Be7 9. O-O Nc6 10. Qb3 b6 11. Qb5 Qd7 12. c4 O-O 13. cxd5 Nxd5 14. Nc4 Nxe3 15. Bxe3 a6 16. Qb3 Na5 17. Nxa5 bxa5 18. Qc2 Rab8 19. b3 Rfc8 20. Qxe4 Bb4,Blitz,White Wins,1485,299,Normal,0.0,0.8181818181743802,1.0,28.545454545195042,31.636363636076034,2.1818181817983473,37.85714285696259,0.0,0.399999999996,0.0,31.699999999683,31.599999999684,1.499999999985,37.99999999981905
11,11,1. e4 e5 2. f4 exf4 3. Nf3 Nc6 4. d4 Bb4+ 5. c3 Be7 6. Bxf4 d6 7. d5 Ne5 8. Qd4 Nxf3+ 9. gxf3 Bh4+ 10. Bg3 Bf6 11. Qd3 Bd7 12. Nd2 Qe7 13. O-O-O O-O-O 14. Kb1 Kb8 15. Nc4 Bb5 16. Qe2 Nh6 17. Qg2 Rhe8 18. Bd3 Be5 19. Bxe5 dxe5 20. Qxg7 Ng8 21. Qxh7 Nf6 22. Qf5 Bxc4 23. Bxc4 Qd6 24. h4 Ng8 25. Qxf7 Rf8 26. Qh5 Nf6 27. Qg5 Rg8 28. Qe3 Nh5 29. Rh3 Nf4 30. Rh2 Rg2 31. Rdh1 Rxh2 32. Rxh2 Rg8 33. h5 Rh8 34. h6 Rxh6 35. Rxh6 Qxh6 36. Qg1 a6 37. Qg8+ Ka7 38. Qe8 Qh1+ 39. Kc2 Qg2+ 40. Kb3 Qxf3 41. Qxe5 Qd1+ 42. Ka3 Nd3 43. Qd4+ c5 44. Qxd3 Qxd3 45. Bxd3 Kb8 46. d6 Kc8 47. e5 Kd8 48. e6 a5 49. Bf5 b6 50. e7+ Ke8 51. Bg6+ Kd7,Classical,White Wins,1353,-1,Normal,0.0,0.45454545454132234,0.0,25.909090908855372,30.272727272452066,2.2727272727066117,37.28571428553674,3.0,1.299999999987,0.0,29.699999999703,34.699999999653,2.399999999976,37.76190476172495
12,12,1. e4 e6 2. Qe2 Nf6 3. d3 d5 4. e5 Nfd7 5. f4 Be7 6. Nf3 c5 7. g3 Nc6 8. Bg2 O-O 9. O-O Nd4 10. Nxd4 cxd4 11. a3 Qb6 12. b4 Nb8 13. Kh1 Nc6 14. Nd2 a5 15. bxa5 Nxa5 16. g4 Bd7 17. f5 exf5 18. gxf5 Rac8 19. Bxd5 Rxc2 20. Qg4 Bc6 21. Bxc6 Qxc6+ 22. Kg1 f6 23. Qxd4 Bc5 24. Nf3 Bxd4+ 25. Nxd4 Qb6 26. Be3 Rcc8 27. Rae1 Qc7 28. Ne6 Qe7 29. Nxf8 Qxf8 30. e6 Rc2 31. Rc1 Ra2 32. Rf3 b6 33. Rg3 Nb3 34. Rc7 Ra1+ 35. Kg2 Qa8+ 36. Kh3 h6 37. Rgxg7+ Kf8 38. Rh7 Kg8 39. Rcg7+ Kf8 40. Rf7+ Kg8 41. Rhg7+ Kh8 42. Rh7+ Kg8 43. Rfg7+ Kf8 44. Rh8+ Kxg7 45. Rxa8 Rb1 46. Bf4 Ra1 47. Kg3 Rb1 48. h3,Blitz,White Wins,1826,72,Time forfeit,0.0,0.0,1.0,31.090909090626447,31.636363636076034,1.999999999981818,38.714285714101365,0.0,0.799999999992,1.0,29.499999999705,30.799999999692,0.499999999995,38.5714285712449
13,13,1. d4 Nf6 2. e3 g6 3. c3 Bg7 4. Nd2 d6 5. Ngf3 O-O 6. Bd3 Nbd7 7. h3 Qe8 8. Qe2 e5 9. e4 d5 10. O-O exd4 11. e5 dxc3 12. bxc3 Nh5 13. Nb3 Nxe5 14. Nxe5 Qxe5 15. Qf3 c6 16. Bb2 Qd6 17. Rad1 Qc7 18. Ba1 Be6 19. Nc5 Rae8 20. Rb1 b6 21. Na6 Qc8 22. a4 c5 23. Bb5 Bd7 24. Qxd5 Nf6 25. Qd3 Bf5 26. Qc4 Bxb1 27. Bxe8 Bf5 28. Bb5 Rd8 29. Qf4 h5 30. c4 Ne4 31. Bxg7 Kxg7 32. Qe5+ Kg8 33. f3 Nd2 34. Re1 Nb3 35. g4 hxg4 36. fxg4 Be6 37. Nc7 Nd4 38. Nd5 Nf3+ 39. Kh1 Nxe5 40. Rxe5 Kg7 41. Nf4 Qb7+ 42. Kh2 Bc8 43. Kg3 a6,Blitz,Black Wins,1886,-227,Time forfeit,0.0,0.18181818181652892,1.0,33.54545454514959,28.818181817919836,0.45454545454132234,38.904761904576645,0.0,0.0,1.0,25.799999999742,33.399999999666,0.599999999994,38.99999999981429
14,14,1. e4 e6 2. Nc3 c6 3. d4 d5 4. f3 h6 5. Bd3 a6 6. Nge2 Nf6 7. Ng3 b5 8. O-O Nbd7 9. exd5 cxd5 10. Re1 Be7 11. Bf4 Qb6 12. Nce2 Bb7 13. c3 Rc8 14. Kh1 Qc6 15. Qd2 Nb6 16. Rac1 Nc4 17. Bxc4 bxc4 18. b3 a5 19. bxc4 Qxc4 20. Qb2 Bc6 21. Qb1 a4 22. Qb6 a3 23. Rb1 O-O 24. Rb3 Ba4 25. Rb4 Bxb4 26. cxb4 Qb5 27. Qd6 Bc2 28. Rc1 Bd3 29. Rxc8 Rxc8 30. Ng1 Bc4 31. Be5 Bxa2 32. Bxf6 gxf6 33. Qe7 Kg7 34. Nh5+ Kg8 35. Nxf6+ Kg7 36. Nh5+ Kg8 37. Qf6 Bb1 38. Qg7#,Blitz,White Wins,1643,-143,Normal,0.0,0.0,1.0,34.36363636332397,32.18181818152562,0.5454545454495868,38.809523809339005,0.0,0.299999999997,0.0,31.299999999687,35.299999999647,1.99999999998,38.76190476172018
15,15,1. e4 e5 2. Nf3 Nc6 3. Bb5 Nd4 4. Nxe5 Nxb5 5. Nxf7 Kxf7 6. Qh5+ g6 7. Qxb5 Qe7 8. Nc3 Nf6 9. e5 Bg7 10. O-O Ng4 11. Qc4+ Kf8 12. Qxg4 d6 13. Qf3+ Ke8 14. Nd5 Qd7 15. Nf6+ Bxf6 16. Qxf6 Rf8 17. Qg5 b6 18. exd6 Qxd6 19. Re1+ Kd7 20. d3 Kc6 21. c4 Qd4 22. Qb5+ Kb7 23. Be3 Qxd3 24. Rad1 Qf5 25. c5 a6 26. c6+ Ka7 27. Bxb6+ cxb6 28. Re7+,Classical,White Wins,1561,-144,Normal,2.0,2.0909090908900825,1.0,33.36363636333306,29.636363636094213,1.999999999981818,35.28571428554626,0.0,0.399999999996,0.0,27.599999999724,32.99999999967,3.899999999961,36.38095238077914
16,16,1. e4 d5 2. e5 Bf5 3. d4 e6 4. Bd3 Bg6 5. Bxg6 hxg6 6. Nf3 c5 7. Be3 c4 8. Nc3 a6 9. Bg5 Qc7 10. h3 Bb4 11. O-O Bxc3 12. bxc3 Qa5 13. Qd2 b5 14. a3 Nc6 15. Nh4 Qa4 16. Ra2 Na5 17. Rfa1 Nc6 18. Qe2 Qa5 19. Bd2 O-O-O 20. Nf3 Qc7 21. Ng5 Nh6 22. a4 bxa4 23. Rxa4 Nb8 24. Rb4 Kd7 25. Nxf7 Nxf7 26. Qf3 Ke7 27. Rab1 Rd7 28. Rb7 Qc8 29. Rxb8 Qxb8 30. Rxb8 Rxb8 31. h4 Rb2 32. Qd1 a5 33. Qc1 Rb5 34. Qa3+ Ke8 35. h5 g5 36. f4 gxf4 37. Bxf4 Rdb7 38. Kh2 Rb2 39. Qxa5 Rxc2 40. Qa8+ Nd8 41. Qa4+ Ke7 42. Bg5+ Kf7 43. Qa3 Rb8,Bullet,Black Wins,1501,-48,Time forfeit,0.0,0.36363636363305785,1.0,32.63636363606694,32.18181818152562,1.6363636363487604,37.28571428553674,0.0,0.499999999995,0.0,31.299999999687,32.899999999671,1.799999999982,37.14285714268028
17,17,1. d4 d5 2. c4 Nf6 3. Nc3 Bf5 4. cxd5 e6 5. a3 Nxd5 6. Nxd5 Qxd5 7. Nf3 Nc6 8. e3 Rd8 9. Be2 Bd6 10. O-O O-O 11. Re1 Ne7 12. b4 b6 13. Bb2 Rfe8 14. Rc1 Ng6 15. Bc4 Qe4 16. Kf1 Nh4 17. Nxh4 Qxh4 18. h3 e5 19. Qf3 g6 20. e4 Be6 21. Bxe6 Rxe6 22. d5 Rf6 23. Qe3 Rf4 24. g3 Qxh3+ 25. Ke2 Qh5+ 26. Kd3 Rf3 27. Qxf3 Qxf3+ 28. Re3 Qxf2 29. Rce1 Qxb2,Blitz,Black Wins,1548,-209,Normal,0.0,0.45454545454132234,1.0,28.818181817919836,34.99999999968182,2.9090909090644628,36.999999999823814,0.0,0.799999999992,1.0,38.899999999611,32.399999999676,0.399999999996,36.714285714110886
18,18,1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. Bc4 Nxe4 5. Nxe4 d5 6. Bb5 dxe4 7. Nxe5 Qd5 8. Nxc6 bxc6 9. Ba4 Bd6 10. O-O O-O 11. d3 exd3 12. Qxd3 Be6 13. Qxd5 cxd5 14. Bc6 Rab8 15. b3 Be5 16. Rb1 Bf5 17. Be3 Bxc2 18. Rbc1 Be4 19. Bxa7 Ra8 20. Bc5 Rxa2 21. Bxf8 Kxf8 22. f3 Bd3 23. Rfe1 Bd4+ 24. Kh1 Rb2 25. Re8#,Blitz,White Wins,1334,-341,Normal,0.0,0.6363636363578512,1.0,29.909090908819007,35.545454545131406,3.2727272726975207,36.0476190474474,0.0,0.399999999996,1.0,32.899999999671,30.799999999692,1.699999999983,35.71428571411565
19,19,1. d4 e6 2. Nf3 d5 3. Bg5 Be7 4. Bxe7 Nxe7 5. e3 O-O 6. c4 dxc4 7. Bxc4 c5 8. Nc3 cxd4 9. Nxd4 e5 10. Nf3 Qa5 11. O-O Nbc6 12. a3 Bg4 13. h3 Bxf3 14. Qxf3 Qc7 15. Bd3 Ng6 16. Be4 Rae8 17. Bxc6 bxc6 18. Rac1 Nh4 19. Qe4 Qe7 20. Qxc6 Qg5 21. Ne2 Re6 22. Qd5 Rd8 23. Qe4 f5 24. Qb7 Re7 25. Qb3+ Kh8 26. Ng3 f4 27. exf4 Qxf4 28. Rc4 e4 29. Qb4 Rde8 30. Re1 a5 31. Qa4 Qg5 32. Rcxe4 Re5 33. Qxe8+ Rxe8 34. Rxe8#,Blitz,White Wins,1594,14,Normal,0.0,0.18181818181652892,1.0,34.63636363604876,28.454545454286777,1.4545454545322314,36.23809523792268,0.0,0.399999999996,1.0,27.99999999972,31.299999999687,3.399999999966,36.190476190303855
